origin,destination,is_same_country,measurement_id,probe_id,timestamp,distance_km,rtt_obs_ms,rtt_dir_ms,delta_ms,tier,tier_label,unexplained_inflation,transits_external,external_asns,hop_count
Guatemala,Guatemala,True,185927727,1009618,,3,26.3,2.0,24.3,intra_sica,Intra-SICA,True,False,,11
Guatemala,Guatemala,True,185927727,30831,,11,63.9,2.1,61.8,intra_sica,Intra-SICA,True,False,,12
Guatemala,Guatemala,True,185927727,7422,,3,71.2,2.0,69.2,physical_exit,Salida física confirmada,False,True,12956,8
Guatemala,Guatemala,True,185927727,7528,,1,0.2,2.0,-1.8,intra_sica,Intra-SICA,False,False,,1
Guatemala,Guatemala,True,175680474,1009618,,3,50.8,2.0,48.8,physical_exit,Salida física confirmada,False,True,174,12
Guatemala,Guatemala,True,175680474,7422,,3,23.7,2.0,21.7,physical_exit,Salida física confirmada,False,True,12956,8
Guatemala,Guatemala,True,175680474,30831,,11,93.5,2.1,91.4,physical_exit,Salida física confirmada,False,True,174,13
Guatemala,Guatemala,True,175680474,7528,,1,0.1,2.0,-1.9,intra_sica,Intra-SICA,False,False,,1
Guatemala,Guatemala,True,168336739,7528,,1,0.1,2.0,-1.9,intra_sica,Intra-SICA,False,False,,1
Guatemala,Guatemala,True,168336739,1009618,,3,48.6,2.0,46.5,physical_exit,Salida física confirmada,False,True,174,12
Guatemala,Guatemala,True,168336739,7422,,3,23.8,2.0,21.8,physical_exit,Salida física confirmada,False,True,12956,8
Guatemala,Guatemala,True,168336739,30831,,11,85.1,2.1,83.0,physical_exit,Salida física confirmada,False,True,174,13
Guatemala,Guatemala,True,168336739,1010971,,100,63.6,3.0,60.6,physical_exit,Salida física confirmada,False,True,23520,10
El Salvador,El Salvador,True,185983074,1013586,,116,15.1,3.2,12.0,physical_exit,Salida física confirmada,False,True,12956,11
El Salvador,El Salvador,True,185983074,1014263,,4,35.6,2.0,33.5,physical_exit,Salida física confirmada,False,True,23520;12956,15
El Salvador,El Salvador,True,185983074,30359,,3,37.7,2.0,35.7,physical_exit,Salida física confirmada,False,True,23520;12956,14
El Salvador,El Salvador,True,185983074,64062,,3,61.6,2.0,59.6,physical_exit,Salida física confirmada,False,True,6453;12956,15
El Salvador,El Salvador,True,185983074,64166,,1,1.5,2.0,-0.5,intra_sica,Intra-SICA,False,False,,6
El Salvador,El Salvador,True,185983074,64366,,3,14.7,2.0,12.7,physical_exit,Salida física confirmada,False,True,12956,13
El Salvador,El Salvador,True,185983074,64959,,0,57.7,2.0,55.7,physical_exit,Salida física confirmada,False,True,1299;12956,15
El Salvador,El Salvador,True,185983074,65093,,7,1.6,2.1,-0.5,intra_sica,Intra-SICA,False,False,,6
El Salvador,El Salvador,True,185983074,65161,,6,15.7,2.1,13.7,physical_exit,Salida física confirmada,False,True,12956,11
El Salvador,El Salvador,True,185983074,65301,,10,61.7,2.1,59.6,physical_exit,Salida física confirmada,False,True,6453;12956,15
El Salvador,El Salvador,True,185983074,65415,,3,14.2,2.0,12.2,physical_exit,Salida física confirmada,False,True,12956,12
El Salvador,El Salvador,True,185983074,7607,,2,59.6,2.0,57.6,physical_exit,Salida física confirmada,False,True,174;12956,14
El Salvador,El Salvador,True,185983074,7650,,1,0.0,2.0,-2.0,intra_sica,Intra-SICA,False,False,,1
El Salvador,El Salvador,True,185983074,7673,,116,15.0,3.2,11.8,physical_exit,Salida física confirmada,False,True,12956,11
El Salvador,El Salvador,True,175689076,1013586,,116,15.5,3.2,12.3,physical_exit,Salida física confirmada,False,True,12956,11
El Salvador,El Salvador,True,175689076,65415,,3,14.8,2.0,12.7,physical_exit,Salida física confirmada,False,True,12956,12
El Salvador,El Salvador,True,175689076,64959,,0,58.7,2.0,56.7,physical_exit,Salida física confirmada,False,True,1299;12956,15
El Salvador,El Salvador,True,175689076,65301,,10,90.5,2.1,88.4,physical_exit,Salida física confirmada,False,True,6453;12956,15
El Salvador,El Salvador,True,175689076,64166,,1,1.5,2.0,-0.5,intra_sica,Intra-SICA,False,False,,6
El Salvador,El Salvador,True,175689076,65093,,7,1.6,2.1,-0.4,intra_sica,Intra-SICA,False,False,,6
El Salvador,El Salvador,True,175689076,30359,,3,56.9,2.0,54.8,physical_exit,Salida física confirmada,False,True,23520;12956,17
El Salvador,El Salvador,True,175689076,7607,,2,60.3,2.0,58.3,physical_exit,Salida física confirmada,False,True,6762;12956,14
El Salvador,El Salvador,True,175689076,7650,,1,0.1,2.0,-1.9,intra_sica,Intra-SICA,False,False,,1
El Salvador,El Salvador,True,175689076,1014263,,4,61.8,2.0,59.8,physical_exit,Salida física confirmada,False,True,23520;6830;12956,18
El Salvador,El Salvador,True,175689076,64062,,3,64.0,2.0,62.0,physical_exit,Salida física confirmada,False,True,6453;12956,15
El Salvador,El Salvador,True,175689076,65161,,6,16.0,2.1,14.0,physical_exit,Salida física confirmada,False,True,12956,11
El Salvador,El Salvador,True,175689076,7673,,116,16.2,3.2,13.0,physical_exit,Salida física confirmada,False,True,12956,13
El Salvador,El Salvador,True,175689076,64366,,3,15.0,2.0,13.0,physical_exit,Salida física confirmada,False,True,12956,13
El Salvador,El Salvador,True,168244895,65415,,3,14.6,2.0,12.6,physical_exit,Salida física confirmada,False,True,12956,12
El Salvador,El Salvador,True,168244895,65301,,10,65.0,2.1,63.0,physical_exit,Salida física confirmada,False,True,6453;12956,15
El Salvador,El Salvador,True,168244895,64366,,3,14.9,2.0,12.9,physical_exit,Salida física confirmada,False,True,12956,13
El Salvador,El Salvador,True,168244895,7607,,2,91.4,2.0,89.3,physical_exit,Salida física confirmada,False,True,1299;12956,16
El Salvador,El Salvador,True,168244895,64062,,3,63.7,2.0,61.7,physical_exit,Salida física confirmada,False,True,6453;12956,15
El Salvador,El Salvador,True,168244895,7650,,1,0.0,2.0,-2.0,intra_sica,Intra-SICA,False,False,,1
El Salvador,El Salvador,True,168244895,1014263,,4,58.9,2.0,56.8,physical_exit,Salida física confirmada,False,True,23520;6830;12956,18
El Salvador,El Salvador,True,168244895,30359,,3,56.9,2.0,54.9,physical_exit,Salida física confirmada,False,True,23520;12956,17
El Salvador,El Salvador,True,168244895,1013586,,116,15.5,3.2,12.3,physical_exit,Salida física confirmada,False,True,12956,11
El Salvador,El Salvador,True,168244895,65093,,7,1.5,2.1,-0.6,intra_sica,Intra-SICA,False,False,,6
El Salvador,El Salvador,True,168244895,64166,,1,1.3,2.0,-0.7,intra_sica,Intra-SICA,False,False,,6
El Salvador,El Salvador,True,168244895,7673,,116,16.1,3.2,12.9,physical_exit,Salida física confirmada,False,True,12956,13
El Salvador,El Salvador,True,168244895,65161,,6,15.9,2.1,13.9,physical_exit,Salida física confirmada,False,True,12956,11
El Salvador,El Salvador,True,168244895,64959,,0,58.3,2.0,56.3,physical_exit,Salida física confirmada,False,True,1299;12956,15
Honduras,Honduras,True,185986898,1008057,,4,0.9,2.0,-1.2,intra_sica,Intra-SICA,False,False,,7
Honduras,Honduras,True,185986898,1015933,,2,0.6,2.0,-1.5,intra_sica,Intra-SICA,False,False,,5
Honduras,Honduras,True,185986898,1016318,,2,2.3,2.0,0.3,intra_sica,Intra-SICA,False,False,,6
Honduras,Honduras,True,185986898,55740,,13,0.8,2.1,-1.4,intra_sica,Intra-SICA,False,False,,5
Honduras,Honduras,True,185986898,60070,,4,0.8,2.0,-1.3,intra_sica,Intra-SICA,False,False,,3
